lap_distance_m,speed_kph,throttle,brake
2745.0,264.6584055825756,1.0,0.0
2750.0,265.08132797631635,1.0,0.0
2755.0,265.5042503700571,1.0,0.0
2760.0,265.92717276379784,1.0,0.0
2765.0,262.99588709677414,0.8331048387096737,0.16689516129032636
2770.0,259.3668548387096,0.6314919354838686,0.36850806451613133
2775.0,255.73782258064514,0.4298790322580637,0.5701209677419363
2780.0,252.10879032258066,0.22826612903225862,0.7717338709677414
2785.0,248.47975806451618,0.026653225806453684,0.9733467741935463
2790.0,239.43998933617718,0.0,1.0
2795.0,229.5759530791791,0.0,1.0
2800.0,219.71191682218102,0.0,1.0
2805.0,210.12598639455805,0.0,1.0
